date,open_day,close_day,high_day,low_day,high_var,low_var,high_mean,low_mean,high_median,low_median,target_high,target_low,high_q1,high_q3,low_q1,low_q3,Gain,Loss,AVG_Gain,AVG_Loss,RS,RSI,RSIMAX,RSIMIN,StochRSI,ema_corto,ema_largo,macd_line,macd_signal,oferta_demanda
2020-08-11,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
2020-08-12,2.85,3.2985,1.2353684210526314,0.9976491228070176,0.0029714108272631025,0.00239958754097721,1.126101364522417,1.068583820662768,1.1402631578947369,1.0779649122807018,0.6875,0.0,1.0940263157894736,1.1608070175438596,1.0218070175438596,1.1121491228070175,,,,,,,,,,3.2985,3.2985,0.0,0.0,1.2353684210526314
2020-08-13,3.2985,3.7558,1.1911171744732454,0.9337577686827345,0.006084896617206574,0.005617380286767335,1.0900384012935171,1.0550186953665806,1.1324541458238593,1.1010156131574957,0.7291666666666666,0.3125,0.9997574655146279,1.1462634530847353,0.9679323935122024,1.116272548127937,0.4572999999999996,0.0,,,,,,,,3.368853846153846,3.332374074074074,0.036479772079772044,0.007295954415954409,1.1911171744732454
2020-08-14,3.75,3.73,1.1036533333333334,0.9334133333333334,0.0008888665112687156,0.0008088636318360911,1.0340361111111112,0.9988622222222222,1.0316533333333333,1.0020133333333332,0.0,0.20833333333333334,1.0133266666666665,1.0533333333333335,0.98262,1.0162799999999999,0.0,0.025799999999999823,,,,,,,,3.424414792899408,3.3618278463648834,0.06258694653452457,0.018354152839668444,-1.1036533333333334
2020-08-15,3.7207,3.4099,1.012605154943962,0.8925739780148897,0.0009553611346158743,0.000902756174753161,0.9636414742745542,0.9440780632676647,0.9712957239229176,0.950103475152525,0.3541666666666667,0.8125,0.9365441986722929,0.9875762625312441,0.9201024000860054,0.9681847501814175,0.0,0.32010000000000005,,,,,,,,3.4221817478379606,3.365388746634151,0.05679300120380937,0.02604192251249663,-1.012605154943962
2020-08-16,3.4181,3.173,1.094175126532284,0.9215646119189023,0.0011035217635478362,0.0011162914311279811,1.0056104512253397,0.9850696780862663,1.009361926216319,0.9910330300459319,0.9166666666666666,0.3333333333333333,0.9794695883678066,1.0213788361955474,0.9590562008133174,1.0029621719668822,0.0,0.2368999999999999,,,,,,,,3.383846094324428,3.351137728364955,0.03270836595947291,0.02737521120189189,-1.094175126532284
2020-08-17,3.173,3.3885,1.1001260636621493,0.9832965647652064,0.0007058681292183727,0.0007993930353198883,1.0673015810484294,1.0484228910599853,1.075984872360542,1.0585250551528522,0.0,0.0,1.0635439647021747,1.0849747872675701,1.0408052316419791,1.0652458241411913,0.21550000000000002,0.0,,,,,,,,3.3845620798129774,3.353905304041625,0.030656775771352507,0.028031524115784013,1.1001260636621493
2020-08-18,3.3885,3.11,1.0019772760808616,0.9148590821897595,0.0005079521028532155,0.0005737892682258342,0.9626137425606217,0.9495696227435935,0.9657370517928286,0.9444001770694999,0.4583333333333333,0.8333333333333334,0.9436623874870886,0.9773498598199793,0.9286188579017264,0.9661502139589789,0.0,0.2785000000000002,,,,,,,,3.3423217598417505,3.3358382444829857,0.006483515358764791,0.023721922364380168,-1.0019772760808616
2020-08-19,3.11,3.3407,1.1926688102893892,0.9036977491961415,0.005207130819115549,0.004335914815231149,1.0434291264737408,1.0095592175777064,1.0085369774919615,0.9797427652733119,0.125,0.4166666666666667,0.9829180064308681,1.1115836012861737,0.9646302250803859,1.0811012861736335,0.23070000000000013,0.0,,,,,,,,3.3420722583276348,3.336198374521283,0.005873883806351898,0.020152314652774516,1.1926688102893892
2020-08-20,3.334,2.8868,1.0467906418716257,0.8398320335932813,0.0023938852464226094,0.0023509811875548755,0.9300852329534094,0.9059294391121776,0.9136622675464907,0.8953809238152369,1.0,0.875,0.9009073185362928,0.9397195560887823,0.8721655668866227,0.9209058188362327,0.0,0.45389999999999997,,,,,,,,3.2720303724310758,3.3029096060382246,-0.030879233607148837,0.009946005000789845,-1.0467906418716257
